3146863,27.00,-0.12,-0.22,28.00,1.43,-0.14,27.00,-0.04,-0.14
3146923,27.00,-0.08,-0.17,28.00,0.53,0.06,27.00,0.07,0.01
3146983,27.00,0.02,-0.19,28.00,0.20,-0.18,27.00,-0.01,0.00
3147043,27.00,0.12,-0.16,28.00,-0.20,-0.39,27.00,-0.02,-0.04
3147103,27.00,-0.02,-0.27,28.00,-1.00,-0.22,27.00,-0.02,-0.07
3147164,27.00,0.01,-0.16,28.00,-1.47,-0.38,27.00,-0.04,-0.08
3147224,27.00,-0.02,-0.24,28.00,-2.04,-0.24,27.00,0.05,-0.04
3147284,27.00,-0.11,-0.10,28.00,-2.50,-0.69,27.00,-0.05,-0.07
3147344,27.00,-0.02,-0.21,28.00,-3.25,0.19,27.00,-0.02,-0.07
3147404,27.00,0.10,-0.27,28.00,-3.45,-0.47,27.00,-0.05,-0.10
3147464,27.00,-0.07,-0.26,28.00,-3.48,-0.49,27.00,0.01,-0.02
3147524,27.00,-0.02,-0.26,28.00,-3.71,-0.22,27.00,-0.08,-0.03
3147585,27.00,-0.02,-0.08,28.00,-3.61,-0.35,27.00,0.04,-0.11
3147645,27.00,-0.10,-0.20,28.00,-3.85,0.17,27.00,0.05,-0.06
3147705,27.00,-0.01,-0.17,28.00,-4.04,-0.30,27.00,0.01,-0.02
3147765,27.00,-0.10,-0.12,28.00,-3.60,-0.26,27.00,-0.04,-0.07
3147825,27.00,0.05,-0.26,28.00,-3.60,-0.41,27.00,-0.04,-0.09
3147885,27.00,0.12,-0.07,28.00,-2.97,-0.16,27.00,-0.01,-0.10
3147945,27.00,-0.04,-0.38,28.00,-2.66,-0.29,27.00,0.05,-0.00
3148005,27.00,0.11,-0.18,28.00,-2.37,-0.40,27.00,-0.01,-0.02
3148066,27.00,0.04,-0.26,28.00,-1.77,-0.10,27.00,-0.05,-0.00
3148126,27.00,0.01,-0.20,28.00,-1.43,-0.21,27.00,0.01,0.02
3148186,27.00,-0.01,-0.27,28.00,-0.53,-0.81,27.00,-0.01,0.01
3148246,27.00,-0.01,0.02,28.00,-0.10,-0.62,27.00,-0.05,0.00
3148306,27.00,-0.01,-0.22,28.00,0.39,-0.75,27.00,0.01,0.03
3148366,27.00,-0.12,-0.07,28.00,0.89,-0.18,27.00,0.01,-0.00
3148426,27.00,0.01,-0.07,28.00,1.68,-0.18,27.00,-0.01,-0.12
3148487,27.00,-0.02,-0.24,28.00,2.01,-0.24,27.00,0.07,-0.01
3148547,27.00,-0.05,-0.21,28.00,2.63,-0.64,27.00,-0.05,-0.07
3148607,27.00,0.20,-0.17,28.00,2.97,0.02,27.00,-0.01,-0.07
3148667,27.00,-0.04,-0.22,28.00,3.16,0.58,27.00,-0.10,-0.04
3148727,27.00,0.05,-0.18,28.00,3.66,0.27,27.00,-0.07,-0.07
3148787,27.00,-0.18,-0.26,28.00,3.83,0.31,27.00,-0.01,-0.03
3148847,27.00,0.01,-0.26,28.00,3.73,-0.07,27.00,-0.08,-0.12
3148907,27.00,-0.05,0.02,28.00,3.88,-0.24,27.00,0.04,0.01
3148968,27.00,-0.05,-0.16,28.00,3.58,0.08,27.00,0.02,-0.01
3149028,27.00,0.11,-0.18,28.00,3.61,0.30,27.00,-0.02,-0.04
3149088,27.00,0.17,-0.32,28.00,3.52,-0.25,27.00,-0.02,-0.05
3149148,27.00,0.02,-0.16,28.00,2.94,-0.05,27.00,-0.01,-0.06
3149208,27.00,-0.04,-0.15,28.00,2.48,0.36,27.00,0.05,-0.08
3149268,27.00,0.02,-0.33,28.00,2.00,-0.17,27.00,-0.01,-0.05
3149328,27.00,-0.04,-0.18,28.00,1.82,0.13,27.00,-0.02,0.07
