50732,22.00,-0.04,-0.24,23.00,-0.32,-0.44,22.00,-0.05,0.04
50792,22.00,0.08,-0.03,23.00,0.24,-0.49,22.00,-0.02,-0.02
50852,22.00,-0.07,-0.21,23.00,0.77,0.26,22.00,-0.02,-0.06
50912,22.00,0.01,-0.19,23.00,1.18,-0.15,22.00,-0.01,-0.01
50972,22.00,-0.01,-0.18,23.00,2.16,-0.73,22.00,-0.10,-0.06
51032,22.00,-0.11,-0.24,23.00,2.66,-0.04,22.00,-0.05,-0.04
51093,22.00,0.02,-0.29,23.00,2.86,-0.43,22.00,0.02,0.05
51153,22.00,-0.07,-0.20,23.00,3.38,-0.17,22.00,-0.07,-0.02
51213,22.00,0.01,-0.24,23.00,3.58,-0.06,22.00,-0.02,-0.06
51273,22.00,-0.04,-0.28,23.00,3.77,-0.23,22.00,-0.01,0.04
51333,22.00,-0.05,-0.19,23.00,3.86,0.64,22.00,-0.01,-0.04
51393,22.00,0.01,-0.28,23.00,3.85,-0.20,22.00,-0.01,-0.01
51453,22.00,0.08,-0.13,23.00,3.82,-0.46,22.00,-0.04,-0.04
51514,22.00,-0.10,-0.27,23.00,3.58,-0.12,22.00,-0.04,-0.00
51574,22.00,-0.07,-0.28,23.00,3.45,0.15,22.00,-0.04,-0.02
51634,22.00,-0.20,-0.24,23.00,3.47,-0.06,22.00,0.10,-0.10
51694,22.00,-0.08,-0.15,23.00,2.56,0.30,22.00,-0.02,-0.01
51754,22.00,0.04,-0.17,23.00,2.47,0.08,22.00,-0.05,-0.07
51814,22.00,-0.04,-0.29,23.00,1.88,0.01,22.00,-0.05,-0.03
51874,22.00,0.07,-0.15,23.00,1.19,0.25,22.00,-0.05,0.01
51934,22.00,0.05,-0.20,23.00,0.68,-0.49,22.00,0.04,-0.06
51995,22.00,-0.07,-0.16,23.00,0.15,0.03,22.00,-0.01,0.01
52055,22.00,-0.05,-0.29,23.00,-0.53,-0.02,22.00,0.12,-0.08
52115,22.00,-0.05,-0.29,23.00,-1.15,-0.23,22.00,0.04,-0.08
52175,22.00,-0.01,-0.16,23.00,-1.53,-0.35,22.00,-0.02,-0.11
52235,22.00,0.14,-0.03,23.00,-2.10,-0.13,22.00,-0.02,-0.03
52295,22.00,0.08,-0.26,23.00,-2.82,-0.26,22.00,-0.07,-0.03
52355,22.00,0.04,-0.26,23.00,-3.10,-0.36,22.00,-0.01,-0.07
52416,22.00,-0.07,-0.38,23.00,-3.25,-0.27,22.00,-0.07,0.07
52476,22.00,0.10,-0.11,23.00,-3.63,-0.70,22.00,-0.04,-0.08
52536,22.00,0.01,-0.22,23.00,-3.71,-0.24,22.00,0.04,-0.04
52596,22.00,0.10,-0.15,23.00,-3.70,0.12,22.00,0.02,-0.01
52656,22.00,-0.15,-0.25,23.00,-3.70,-0.59,22.00,0.01,-0.00
52716,22.00,-0.01,-0.18,23.00,-3.77,-0.34,22.00,0.02,-0.14
52776,22.00,-0.04,-0.23,23.00,-3.76,-0.36,22.00,-0.04,-0.03
52836,22.00,0.11,-0.29,23.00,-3.42,-0.60,22.00,-0.01,-0.02
52897,22.00,-0.02,-0.13,23.00,-3.05,-0.43,22.00,0.02,-0.10
52957,22.00,-0.05,-0.17,23.00,-2.86,-0.54,22.00,0.02,-0.00
53017,22.00,-0.07,-0.22,23.00,-2.10,-0.23,22.00,0.02,-0.06
53077,22.00,0.08,-0.15,23.00,-1.87,-0.21,22.00,-0.02,0.00
53137,22.00,-0.12,-0.10,23.00,-1.28,-0.59,22.00,-0.07,-0.06
53197,22.00,-0.02,-0.22,23.00,-0.68,-0.57,22.00,-0.07,0.02
53257,22.00,0.01,-0.17,23.00,-0.14,-0.45,22.00,-0.07,-0.05
53318,22.00,-0.05,-0.26,23.00,0.62,-0.51,22.00,0.02,0.03
53378,22.00,-0.07,-0.27,23.00,0.92,-0.18,22.00,-0.01,-0.12
53438,22.00,-0.04,-0.21,23.00,1.27,-0.11,22.00,0.04,-0.02
53498,22.00,0.05,-0.19,23.00,2.18,-0.21,22.00,-0.04,-0.03
53558,22.00,-0.15,-0.14,23.00,2.72,-0.29,22.00,0.01,-0.02
53618,22.00,-0.14,-0.22,23.00,2.94,-0.00,22.00,0.07,0.07
53678,22.00,0.12,-0.15,23.00,3.67,-0.44,22.00,0.02,0.01
53739,22.00,0.01,-0.19,23.00,3.42,-0.27,22.00,-0.07,-0.09
53799,22.00,0.07,-0.15,23.00,4.04,0.38,22.00,0.05,-0.03
53859,22.00,-0.08,-0.22,23.00,3.60,0.24,22.00,0.02,-0.02
53919,22.00,0.08,-0.29,23.00,3.66,-0.01,22.00,-0.02,-0.05
53979,22.00,-0.04,-0.19,23.00,3.63,0.09,22.00,-0.04,-0.14
54039,22.00,-0.02,-0.21,23.00,3.58,0.41,22.00,0.02,-0.02
54099,22.00,0.04,-0.15,23.00,3.55,-0.26,22.00,0.01,-0.04
54159,22.00,-0.02,-0.20,23.00,2.92,0.10,22.00,0.02,-0.08
54220,22.00,-0.07,-0.19,23.00,2.53,0.37,22.00,-0.01,-0.10
54280,22.00,-0.04,-0.07,23.00,1.79,0.33,22.00,-0.04,-0.03
54340,22.00,-0.02,-0.23,23.00,1.75,-0.19,22.00,0.02,-0.02
54400,22.00,-0.10,-0.37,23.00,0.80,0.31,22.00,0.01,-0.05
54460,22.00,-0.01,-0.15,23.00,0.23,0.19,22.00,-0.11,0.00
54520,22.00,-0.02,-0.15,23.00,-0.15,0.07,22.00,0.05,-0.02
54580,22.00,0.07,-0.14,23.00,-0.62,0.03,22.00,-0.02,-0.06
54641,22.00,0.12,-0.15,23.00,-1.18,-0.32,22.00,0.01,-0.09
54701,22.00,0.07,-0.23,23.00,-1.78,0.22,22.00,-0.04,-0.01
54761,22.00,-0.05,-0.37,23.00,-2.10,0.03,22.00,0.05,0.00
54821,22.00,0.07,-0.12,23.00,-2.70,-0.04,22.00,-0.07,-0.02
54881,22.00,-0.02,-0.27,23.00,-3.22,-0.29,22.00,0.02,-0.07
54941,22.00,0.14,-0.21,23.00,-3.38,-0.26,22.00,-0.05,-0.06
55001,22.00,-0.21,-0.30,23.00,-3.67,-0.04,22.00,0.01,-0.09
55061,22.00,-0.08,-0.28,23.00,-3.68,-0.14,22.00,-0.02,-0.06
55122,22.00,-0.08,-0.24,23.00,-3.99,-0.46,22.00,0.04,-0.00
55182,22.00,0.17,-0.27,23.00,-3.96,-0.54,22.00,0.04,0.00
55242,22.00,0.05,-0.24,23.00,-3.68,-0.15,22.00,0.01,-0.07
55302,22.00,-0.07,-0.25,23.00,-3.61,-0.16,22.00,0.02,-0.03
55362,22.00,0.08,-0.37,23.00,-3.29,-0.69,22.00,-0.04,-0.05
55422,22.00,0.10,-0.22,23.00,-2.91,-0.32,22.00,0.04,-0.10
55482,22.00,-0.01,-0.24,23.00,-2.60,-0.36,22.00,0.02,-0.06
55543,22.00,-0.08,-0.13,23.00,-2.01,-0.41,22.00,0.05,0.00
55603,22.00,-0.14,-0.25,23.00,-1.37,-0.45,22.00,0.01,-0.04
55663,22.00,-0.02,-0.09,23.00,-0.73,-0.68,22.00,0.04,-0.06
55723,22.00,-0.01,-0.14,23.00,-0.30,-0.80,22.00,-0.04,-0.08
55783,22.00,-0.07,-0.21,23.00,0.27,-0.29,22.00,-0.04,-0.07
55843,22.00,-0.18,-0.33,23.00,0.77,-0.44,22.00,-0.04,-0.02
55903,22.00,-0.10,-0.15,23.00,1.44,-0.51,22.00,-0.05,0.02
55963,22.00,0.05,-0.29,23.00,1.82,0.36,22.00,-0.01,-0.02
56024,22.00,-0.02,-0.13,23.00,2.10,0.15,22.00,0.01,-0.01
56084,22.00,0.10,-0.15,23.00,3.03,0.05,22.00,-0.01,-0.01
56144,22.00,-0.01,-0.11,23.00,3.00,0.29,22.00,0.01,0.07
