2026-05-19 15:18:50,052 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-05-19 15:18:55,140 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-05-19 15:19:25,037 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-05-19 15:19:28,025 INFO  ExportPropertyManager.cs: 1018 - OnComboboxSelectionChanged called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2026-05-19 15:20:08,250 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2026-05-19 15:20:11,850 INFO  ExportHelperExtension.cs: 347 - Creating joint mcp_splay
2026-05-19 15:20:12,968 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent base_link to child mcp_splay failed
2026-05-19 15:20:15,282 INFO  ExportHelperExtension.cs: 347 - Creating joint mcp_flexion
2026-05-19 15:20:15,475 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent mcp_splay to child mcp_flexion failed
2026-05-19 15:20:17,115 INFO  ExportHelperExtension.cs: 347 - Creating joint pip_flexion
2026-05-19 15:20:17,144 INFO  ExportHelperExtension.cs: 1397 - Fixing components for mcp_flexion
2026-05-19 15:20:17,152 INFO  ExportHelperExtension.cs: 1402 - Fixing 25
2026-05-19 15:20:17,156 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2026-05-19 15:20:17,158 INFO  ExportHelperExtension.cs: 1402 - Fixing 24
2026-05-19 15:20:19,980 INFO  : 0 - R1: 1, System.__ComObject, 1, System.Double[]
2026-05-19 15:20:19,996 INFO  ExportHelperExtension.cs: 841 - R2: 0, 0
2026-05-19 15:20:20,001 INFO  ExportHelperExtension.cs: 849 - L1: 0
2026-05-19 15:20:20,002 INFO  ExportHelperExtension.cs: 857 - L2: 0
2026-05-19 15:20:20,042 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 25
2026-05-19 15:20:20,046 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 24
2026-05-19 15:20:20,047 INFO  ExportHelperExtension.cs: 1352 - Unfixing component 24
2026-05-19 15:20:21,718 WARN  ExportHelperExtension.cs: 351 - Creating joint from parent mcp_flexion to child pip_flexion failed
2026-05-19 15:20:22,814 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Full assembly_visual.SLDASM
2026-05-19 15:20:22,850 INFO  ExportHelperExtension.cs: 1136 - Found 55 in Full assembly_visual.SLDASM
2026-05-19 15:20:23,015 INFO  ExportHelperExtension.cs: 1145 - Found 4 features of type [CoordSys] in Full assembly_visual.SLDASM
2026-05-19 15:20:23,015 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-05-19 15:20:23,018 INFO  ExportHelperExtension.cs: 1160 - 5 components to check
2026-05-19 15:20:23,018 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from splay-1
2026-05-19 15:20:23,022 INFO  ExportHelperExtension.cs: 1136 - Found 80 in splay-1
2026-05-19 15:20:23,118 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in splay-1
2026-05-19 15:20:23,121 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from mcp_flexion-1
2026-05-19 15:20:23,121 INFO  ExportHelperExtension.cs: 1136 - Found 56 in mcp_flexion-1
2026-05-19 15:20:23,195 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in mcp_flexion-1
2026-05-19 15:20:23,195 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from pip_flexion-1
2026-05-19 15:20:23,200 INFO  ExportHelperExtension.cs: 1136 - Found 41 in pip_flexion-1
2026-05-19 15:20:23,246 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in pip_flexion-1
2026-05-19 15:20:23,250 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Full assembly_visual.SLDASM
2026-05-19 15:20:23,250 INFO  ExportHelperExtension.cs: 1136 - Found 55 in Full assembly_visual.SLDASM
2026-05-19 15:20:23,250 INFO  ExportHelperExtension.cs: 1145 - Found 6 features of type [RefAxis] in Full assembly_visual.SLDASM
2026-05-19 15:20:23,252 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-05-19 15:20:23,252 INFO  ExportHelperExtension.cs: 1160 - 5 components to check
2026-05-19 15:20:23,252 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from splay-1
2026-05-19 15:20:23,252 INFO  ExportHelperExtension.cs: 1136 - Found 80 in splay-1
2026-05-19 15:20:23,252 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in splay-1
2026-05-19 15:20:23,255 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from mcp_flexion-1
2026-05-19 15:20:23,255 INFO  ExportHelperExtension.cs: 1136 - Found 56 in mcp_flexion-1
2026-05-19 15:20:23,255 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in mcp_flexion-1
2026-05-19 15:20:23,255 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from pip_flexion-1
2026-05-19 15:20:23,255 INFO  ExportHelperExtension.cs: 1136 - Found 41 in pip_flexion-1
2026-05-19 15:20:23,255 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in pip_flexion-1
2026-05-19 15:20:23,398 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
