Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.014963,0.0095373,0.016002,0,0,0,0.011071,2.4908E-06,-4.4596E-09,1.5947E-07,2.8376E-06,1.5412E-10,2.3239E-06,0,0,0,0,0,0,package://urdf_exports2/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://urdf_exports2/meshes/base_link.STL,,AngledFingerBaseNoSnapfit_1-1,global_coordinate_system,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
splay_link,-3.6026E-05,0.0074618,0.0080911,0,0,0,0.015542,1.4053E-06,-2.483E-10,5.6183E-09,1.3489E-06,-8.5171E-08,1.3028E-06,0,0,0,0,0,0,package://urdf_exports2/meshes/splay_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf_exports2/meshes/splay_link.STL,,splay-1,splay_coordinate_sytem,splay_joint_axis,splay_joint,revolute,0.01504,0.018,0.016,0,0,0,base_link,0,0,1,0,0,-0.35,0.35,,,,,,,,
mcp_link,-4.0155E-05,0.019564,0.004554,0,0,0,0.022212,2.81E-06,-5.6386E-09,-2.2843E-08,2.3755E-06,8.1599E-08,3.5989E-06,0,0,0,0,0,0,package://urdf_exports2/meshes/mcp_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf_exports2/meshes/mcp_link.STL,,mcp_flexion-1,mcp_flexion_coordinate_system,mcp_flexion_joint,mcp_joint,revolute,0.00015675,0.029856,0,0,0,0,splay_link,-1,0,0,1,1,0,1.57,,,,,,,,
pip_link,9.3176E-05,0.02496,5.2699E-05,0,0,0,0.026546,4.5522E-06,-1.1575E-08,9.6164E-09,3.7501E-06,9.2039E-07,4.4886E-06,0,0,0,0,0,0,package://urdf_exports2/meshes/pip_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://urdf_exports2/meshes/pip_link.STL,,pip_flexion-1,pip_flexion_coordinate_system,pip_joint_axis,pip_joint,revolute,0.00022576,0.042999,0,0,0,0,mcp_link,-1,0,0,1,1,0,1.57,,,,,,,,
