1256429,26.00,0.02,-0.19,27.00,4.12,0.22,26.00,-0.01,-0.05
1256489,26.00,0.08,-0.04,27.00,3.82,-0.46,26.00,0.02,-0.06
1256549,26.00,0.17,-0.13,27.00,3.57,0.06,26.00,0.01,0.03
1256610,26.00,-0.17,-0.32,27.00,3.32,0.04,26.00,-0.01,-0.05
1256670,26.00,-0.12,-0.13,27.00,2.91,0.15,26.00,-0.08,-0.04
1256730,26.00,-0.04,-0.14,27.00,2.41,0.04,26.00,0.05,-0.07
1256790,26.00,-0.02,-0.29,27.00,1.81,0.31,26.00,0.01,-0.07
1256850,26.00,-0.07,-0.17,27.00,1.43,-0.01,26.00,-0.07,0.02
1256910,26.00,0.11,-0.01,27.00,0.90,-0.45,26.00,0.02,-0.10
1256970,26.00,0.08,-0.23,27.00,0.45,-0.29,26.00,-0.07,0.02
1257031,26.00,0.08,-0.26,27.00,-0.14,-0.42,26.00,0.04,-0.11
1257091,26.00,-0.01,-0.29,27.00,-0.74,-0.14,26.00,-0.01,-0.04
1257151,26.00,-0.01,-0.10,27.00,-1.40,0.15,26.00,0.01,-0.07
1257211,26.00,-0.08,0.02,27.00,-1.90,0.06,26.00,-0.02,-0.07
1257271,26.00,-0.12,-0.33,27.00,-2.42,0.72,26.00,-0.10,-0.01
1257331,26.00,0.02,-0.16,27.00,-2.89,-0.06,26.00,0.01,0.02
1257391,26.00,0.10,-0.20,27.00,-3.22,-0.06,26.00,-0.01,-0.07
1257451,26.00,0.15,-0.21,27.00,-3.30,-0.14,26.00,0.04,-0.00
1257512,26.00,0.07,-0.22,27.00,-3.67,-0.21,26.00,-0.02,-0.08
1257572,26.00,0.23,-0.16,27.00,-3.90,-0.33,26.00,-0.02,-0.09
1257632,26.00,-0.07,-0.20,27.00,-4.07,0.02,26.00,0.02,0.02
1257692,26.00,-0.01,-0.22,27.00,-3.98,-0.32,26.00,0.02,-0.06
1257752,26.00,-0.02,-0.33,27.00,-3.83,-0.59,26.00,-0.08,-0.03
1257812,26.00,-0.01,-0.22,27.00,-3.66,-0.56,26.00,-0.01,0.04
1257872,26.00,-0.07,-0.22,27.00,-2.97,-0.31,26.00,0.02,-0.04
1257933,26.00,0.01,-0.17,27.00,-2.64,-0.65,26.00,0.04,-0.05
1257993,26.00,0.02,-0.09,27.00,-2.31,-0.40,26.00,-0.08,-0.07
1258053,26.00,-0.01,-0.34,27.00,-1.84,-0.31,26.00,0.02,-0.08
1258113,26.00,-0.04,-0.16,27.00,-1.52,-0.59,26.00,-0.02,-0.12
1258173,26.00,0.01,-0.29,27.00,-0.84,-0.54,26.00,-0.05,-0.01
1258233,26.00,-0.02,-0.28,27.00,-0.29,-0.55,26.00,0.01,0.03
1258293,26.00,0.08,-0.15,27.00,0.30,-0.48,26.00,-0.04,-0.08
1258353,26.00,0.05,-0.09,27.00,0.78,-0.08,26.00,0.04,-0.08
1258414,26.00,0.08,-0.30,27.00,1.37,0.07,26.00,0.04,-0.07
1258474,26.00,0.02,-0.27,27.00,1.84,-0.39,26.00,-0.04,0.01
1258534,26.00,-0.20,-0.22,27.00,2.44,-0.29,26.00,-0.04,0.02
1258594,26.00,-0.07,-0.15,27.00,2.73,-0.07,26.00,-0.01,-0.04
1258654,26.00,0.05,-0.11,27.00,2.98,-0.22,26.00,-0.02,-0.05
1258714,26.00,-0.02,-0.18,27.00,3.39,-0.19,26.00,0.04,-0.02
1258774,26.00,0.04,-0.29,27.00,3.80,-0.28,26.00,-0.01,-0.05
1258835,26.00,-0.07,-0.14,27.00,3.61,0.42,26.00,-0.02,0.07
1258895,26.00,0.10,-0.13,27.00,3.86,0.02,26.00,-0.05,-0.07
1258955,26.00,0.04,0.06,27.00,3.96,0.09,26.00,0.01,0.00
1259015,26.00,0.12,-0.21,27.00,3.67,-0.19,26.00,0.02,-0.05
1259075,26.00,0.04,-0.47,27.00,3.61,-0.14,26.00,-0.01,-0.07
1259135,26.00,0.04,-0.04,27.00,3.26,-0.07,26.00,-0.01,-0.00
1259195,26.00,0.10,-0.17,27.00,2.57,0.57,26.00,-0.04,0.03
1259255,26.00,0.05,-0.16,27.00,2.15,-0.06,26.00,0.02,-0.05
1259316,26.00,-0.05,-0.26,27.00,1.56,0.10,26.00,-0.01,-0.00
1259376,26.00,0.07,-0.20,27.00,1.36,0.18,26.00,-0.02,0.03
1259436,26.00,0.12,-0.15,27.00,0.43,-0.10,26.00,-0.02,0.01
1259496,26.00,-0.10,-0.29,27.00,0.05,0.10,26.00,-0.05,-0.06
1259556,26.00,0.02,-0.24,27.00,-0.43,-0.26,26.00,0.04,0.01
1259616,26.00,-0.11,-0.19,27.00,-1.28,0.80,26.00,0.01,-0.04
1259676,26.00,0.01,-0.22,27.00,-1.74,0.05,26.00,-0.01,-0.04
1259737,26.00,-0.08,-0.08,27.00,-2.09,-0.19,26.00,-0.02,0.04
1259797,26.00,-0.04,-0.12,27.00,-2.95,-0.26,26.00,-0.04,0.04
1259857,26.00,-0.05,-0.15,27.00,-3.17,0.28,26.00,0.02,-0.06
1259917,26.00,0.07,-0.09,27.00,-3.36,-0.77,26.00,-0.04,-0.01
1259977,26.00,-0.12,-0.27,27.00,-3.48,-0.66,26.00,-0.02,-0.06
1260037,26.00,-0.12,-0.15,27.00,-3.63,-0.11,26.00,0.07,0.03
1260097,26.00,0.24,-0.11,27.00,-3.64,0.02,26.00,0.01,-0.06
1260157,26.00,-0.08,-0.35,27.00,-4.10,-0.27,26.00,0.02,-0.12
1260218,26.00,-0.18,-0.29,27.00,-3.80,-0.24,26.00,-0.04,-0.03
1260278,26.00,-0.08,-0.39,27.00,-3.42,-0.14,26.00,0.02,0.02
1260338,26.00,-0.14,-0.22,27.00,-3.10,-0.89,26.00,-0.01,0.02
1260398,26.00,-0.08,-0.16,27.00,-2.81,-0.04,26.00,-0.02,-0.05
1260458,26.00,-0.15,-0.26,27.00,-2.85,-0.25,26.00,0.02,-0.09
1260518,26.00,0.01,-0.23,27.00,-2.26,-0.42,26.00,-0.01,-0.07
1260578,26.00,0.10,-0.18,27.00,-1.66,-0.21,26.00,0.01,0.01
1260639,26.00,0.02,-0.36,27.00,-1.18,-0.42,26.00,-0.04,-0.04
1260699,26.00,-0.05,-0.24,27.00,-0.53,-0.58,26.00,-0.02,-0.07
1260759,26.00,-0.12,-0.10,27.00,-0.14,-0.71,26.00,0.02,-0.01
1260819,26.00,0.15,-0.13,27.00,0.56,-0.26,26.00,-0.02,-0.02
1260879,26.00,0.02,-0.11,27.00,1.14,-0.10,26.00,-0.08,-0.05
1260939,26.00,0.18,-0.00,27.00,1.44,-0.17,26.00,-0.07,-0.09
1260999,26.00,-0.01,-0.24,27.00,2.15,-0.02,26.00,0.05,-0.05
1261059,26.00,-0.04,-0.28,27.00,2.67,-0.20,26.00,-0.01,-0.02
1261120,26.00,-0.02,-0.26,27.00,3.20,-0.10,26.00,0.02,-0.12
1261180,26.00,0.04,-0.07,27.00,3.52,-0.03,26.00,-0.05,-0.00
1261240,26.00,-0.02,-0.23,27.00,3.73,-0.35,26.00,-0.05,-0.01
1261300,26.00,-0.10,-0.39,27.00,3.71,-0.29,26.00,-0.02,0.01
1261360,26.00,-0.14,-0.15,27.00,3.90,-0.16,26.00,-0.04,-0.01
1261420,26.00,0.04,-0.21,27.00,3.76,-0.14,26.00,-0.02,-0.06
1261480,26.00,-0.17,-0.15,27.00,3.77,-0.24,26.00,-0.01,-0.06
1261541,26.00,-0.14,-0.11,27.00,3.39,0.36,26.00,-0.02,-0.09
1261601,26.00,0.04,-0.07,27.00,3.22,-0.80,26.00,-0.01,-0.07
1261661,26.00,0.02,-0.15,27.00,2.91,0.20,26.00,-0.05,-0.00
1261721,26.00,-0.02,-0.25,27.00,2.53,0.42,26.00,0.01,-0.02
1261781,26.00,-0.02,-0.18,27.00,2.04,0.58,26.00,0.08,-0.03
1261841,26.00,0.10,-0.22,27.00,1.62,-0.07,26.00,-0.02,-0.02
1261901,26.00,0.05,-0.10,27.00,1.02,0.39,26.00,-0.07,0.01
1261962,26.00,-0.01,-0.20,27.00,0.33,0.76,26.00,0.01,-0.05
